OMRÅDE;CIVILSTAND;TID;ALDER;INDHOLD
101;G;2008K1;IALT;128556
101;G;2008K1;0;0
101;G;2008K1;1;0
101;G;2008K1;2;0
101;G;2008K1;3;0
101;G;2008K1;4;0
101;G;2008K1;5;0
101;G;2008K1;6;0
101;G;2008K1;7;0
101;G;2008K1;8;0
101;G;2008K1;9;0
101;G;2008K1;10;0
101;G;2008K1;11;0
101;G;2008K1;12;0
101;G;2008K1;13;0
101;G;2008K1;14;0
101;G;2008K1;15;0
101;G;2008K1;16;1
101;G;2008K1;17;0
101;G;2008K1;18;8
101;G;2008K1;19;38
101;G;2008K1;20;67
101;G;2008K1;21;114
101;G;2008K1;22;210
101;G;2008K1;23;348
101;G;2008K1;24;515
101;G;2008K1;25;867
101;G;2008K1;26;1127
101;G;2008K1;27;1676
101;G;2008K1;28;2063
101;G;2008K1;29;2579
101;G;2008K1;30;2917
101;G;2008K1;31;3208
101;G;2008K1;32;3700
101;G;2008K1;33;3806
101;G;2008K1;34;3703
101;G;2008K1;35;3766
101;G;2008K1;36;3604
101;G;2008K1;37;3415
101;G;2008K1;38;3230
101;G;2008K1;39;3265
101;G;2008K1;40;3270
101;G;2008K1;41;3332
101;G;2008K1;42;3222
101;G;2008K1;43;3226
101;G;2008K1;44;2939
101;G;2008K1;45;2745
101;G;2008K1;46;2635
101;G;2008K1;47;2673
101;G;2008K1;48;2458
101;G;2008K1;49;2440
101;G;2008K1;50;2431
101;G;2008K1;51;2512
101;G;2008K1;52;2472
101;G;2008K1;53;2404
101;G;2008K1;54;2474
101;G;2008K1;55;2348
101;G;2008K1;56;2330
101;G;2008K1;57;2446
101;G;2008K1;58;2303
101;G;2008K1;59;2464
101;G;2008K1;60;2634
101;G;2008K1;61;2588
101;G;2008K1;62;2422
101;G;2008K1;63;2209
101;G;2008K1;64;2028
101;G;2008K1;65;1880
101;G;2008K1;66;1553
101;G;2008K1;67;1449
101;G;2008K1;68;1379
101;G;2008K1;69;1257
101;G;2008K1;70;1053
101;G;2008K1;71;1017
101;G;2008K1;72;1010
101;G;2008K1;73;833
101;G;2008K1;74;789
101;G;2008K1;75;770
101;G;2008K1;76;716
101;G;2008K1;77;695
101;G;2008K1;78;627
101;G;2008K1;79;582
101;G;2008K1;80;545
101;G;2008K1;81;493
101;G;2008K1;82;435
101;G;2008K1;83;423
101;G;2008K1;84;342
101;G;2008K1;85;320
101;G;2008K1;86;276
101;G;2008K1;87;238
101;G;2008K1;88;157
101;G;2008K1;89;130
101;G;2008K1;90;105
101;G;2008K1;91;72
101;G;2008K1;92;44
101;G;2008K1;93;49
101;G;2008K1;94;30
101;G;2008K1;95;26
101;G;2008K1;96;14
101;G;2008K1;97;7
101;G;2008K1;98;3
101;G;2008K1;99;3
101;G;2008K1;100;1
101;G;2008K1;101;1
101;G;2008K1;102;0
101;G;2008K1;103;0
101;G;2008K1;104;0
101;G;2008K1;105;0
101;G;2008K1;106;0
101;G;2008K1;107;0
101;G;2008K1;108;0
101;G;2008K1;109;0
101;G;2008K1;110;0
101;G;2008K1;111;0
101;G;2008K1;112;0
101;G;2008K1;113;0
101;G;2008K1;114;0
101;G;2008K1;115;0
101;G;2008K1;116;0
101;G;2008K1;117;0
101;G;2008K1;118;0
101;G;2008K1;119;0
101;G;2008K1;120;0
101;G;2008K1;121;0
101;G;2008K1;122;0
101;G;2008K1;123;0
101;G;2008K1;124;0
101;G;2008K1;125;0
101;G;2008K2;IALT;128289
101;G;2008K2;0;0
101;G;2008K2;1;0
101;G;2008K2;2;0
101;G;2008K2;3;0
101;G;2008K2;4;0
101;G;2008K2;5;0
101;G;2008K2;6;0
101;G;2008K2;7;0
101;G;2008K2;8;0
101;G;2008K2;9;0
101;G;2008K2;10;0
101;G;2008K2;11;0
101;G;2008K2;12;0
101;G;2008K2;13;0
101;G;2008K2;14;0
101;G;2008K2;15;0
101;G;2008K2;16;2
101;G;2008K2;17;0
101;G;2008K2;18;6
101;G;2008K2;19;36
101;G;2008K2;20;72
101;G;2008K2;21;118
101;G;2008K2;22;212
101;G;2008K2;23;322
101;G;2008K2;24;512
101;G;2008K2;25;819
101;G;2008K2;26;1105
101;G;2008K2;27;1563
101;G;2008K2;28;2008
101;G;2008K2;29;2497
101;G;2008K2;30;2875
101;G;2008K2;31;3129
101;G;2008K2;32;3605
101;G;2008K2;33;3804
101;G;2008K2;34;3710
101;G;2008K2;35;3824
101;G;2008K2;36;3626
101;G;2008K2;37;3427
101;G;2008K2;38;3252
101;G;2008K2;39;3250
101;G;2008K2;40;3274
101;G;2008K2;41;3292
101;G;2008K2;42;3245
101;G;2008K2;43;3183
101;G;2008K2;44;3050
101;G;2008K2;45;2762
101;G;2008K2;46;2675
101;G;2008K2;47;2676
101;G;2008K2;48;2464
101;G;2008K2;49;2491
101;G;2008K2;50;2438
101;G;2008K2;51;2429
101;G;2008K2;52;2517
101;G;2008K2;53;2389
101;G;2008K2;54;2474
101;G;2008K2;55;2357
101;G;2008K2;56;2311
101;G;2008K2;57;2424
101;G;2008K2;58;2338
101;G;2008K2;59;2372
101;G;2008K2;60;2590
101;G;2008K2;61;2617
101;G;2008K2;62;2401
101;G;2008K2;63;2276
101;G;2008K2;64;2105
101;G;2008K2;65;1958
101;G;2008K2;66;1558
101;G;2008K2;67;1456
101;G;2008K2;68;1401
101;G;2008K2;69;1258
101;G;2008K2;70;1078
101;G;2008K2;71;1031
101;G;2008K2;72;1003
101;G;2008K2;73;848
101;G;2008K2;74;801
101;G;2008K2;75;740
101;G;2008K2;76;709
101;G;2008K2;77;673
101;G;2008K2;78;629
101;G;2008K2;79;563
101;G;2008K2;80;539
101;G;2008K2;81;468
101;G;2008K2;82;449
101;G;2008K2;83;420
101;G;2008K2;84;328
101;G;2008K2;85;304
101;G;2008K2;86;276
101;G;2008K2;87;236
101;G;2008K2;88;159
101;G;2008K2;89;136
101;G;2008K2;90;113
101;G;2008K2;91;63
101;G;2008K2;92;49
101;G;2008K2;93;37
101;G;2008K2;94;30
101;G;2008K2;95;27
101;G;2008K2;96;12
101;G;2008K2;97;5
101;G;2008K2;98;4
101;G;2008K2;99;2
101;G;2008K2;100;1
101;G;2008K2;101;1
101;G;2008K2;102;0
101;G;2008K2;103;0
101;G;2008K2;104;0
101;G;2008K2;105;0
101;G;2008K2;106;0
101;G;2008K2;107;0
101;G;2008K2;108;0
101;G;2008K2;109;0
101;G;2008K2;110;0
101;G;2008K2;111;0
101;G;2008K2;112;0
101;G;2008K2;113;0
101;G;2008K2;114;0
101;G;2008K2;115;0
101;G;2008K2;116;0
101;G;2008K2;117;0
101;G;2008K2;118;0
101;G;2008K2;119;0
101;G;2008K2;120;0
101;G;2008K2;121;0
101;G;2008K2;122;0
101;G;2008K2;123;0
101;G;2008K2;124;0
101;G;2008K2;125;0
101;G;2008K3;IALT;128728
101;G;2008K3;0;0
101;G;2008K3;1;0
101;G;2008K3;2;0
101;G;2008K3;3;0
101;G;2008K3;4;0
101;G;2008K3;5;0
101;G;2008K3;6;0
101;G;2008K3;7;0
101;G;2008K3;8;0
101;G;2008K3;9;0
101;G;2008K3;10;0
101;G;2008K3;11;0
101;G;2008K3;12;0
101;G;2008K3;13;0
101;G;2008K3;14;0
101;G;2008K3;15;1
101;G;2008K3;16;1
101;G;2008K3;17;0
101;G;2008K3;18;7
101;G;2008K3;19;30
101;G;2008K3;20;64
101;G;2008K3;21;115
101;G;2008K3;22;220
101;G;2008K3;23;315
101;G;2008K3;24;534
101;G;2008K3;25;783
101;G;2008K3;26;1131
101;G;2008K3;27;1548
101;G;2008K3;28;2012
101;G;2008K3;29;2488
101;G;2008K3;30;2890
101;G;2008K3;31;3177
101;G;2008K3;32;3602
101;G;2008K3;33;3789
101;G;2008K3;34;3773
101;G;2008K3;35;3791
101;G;2008K3;36;3714
101;G;2008K3;37;3487
101;G;2008K3;38;3309
101;G;2008K3;39;3222
101;G;2008K3;40;3280
101;G;2008K3;41;3236
101;G;2008K3;42;3251
101;G;2008K3;43;3188
101;G;2008K3;44;3126
101;G;2008K3;45;2771
101;G;2008K3;46;2695
101;G;2008K3;47;2684
101;G;2008K3;48;2523
101;G;2008K3;49;2522
101;G;2008K3;50;2436
101;G;2008K3;51;2431
101;G;2008K3;52;2456
101;G;2008K3;53;2423
101;G;2008K3;54;2380
101;G;2008K3;55;2439
101;G;2008K3;56;2285
101;G;2008K3;57;2396
101;G;2008K3;58;2371
101;G;2008K3;59;2337
101;G;2008K3;60;2472
101;G;2008K3;61;2651
101;G;2008K3;62;2416
101;G;2008K3;63;2336
101;G;2008K3;64;2099
101;G;2008K3;65;2008
101;G;2008K3;66;1646
101;G;2008K3;67;1447
101;G;2008K3;68;1398
101;G;2008K3;69;1290
101;G;2008K3;70;1114
101;G;2008K3;71;1026
101;G;2008K3;72;1005
101;G;2008K3;73;855
101;G;2008K3;74;793
101;G;2008K3;75;756
101;G;2008K3;76;689
101;G;2008K3;77;665
101;G;2008K3;78;648
101;G;2008K3;79;542
101;G;2008K3;80;510
101;G;2008K3;81;484
101;G;2008K3;82;452
101;G;2008K3;83;394
101;G;2008K3;84;358
101;G;2008K3;85;302
101;G;2008K3;86;278
101;G;2008K3;87;222
101;G;2008K3;88;172
101;G;2008K3;89;120
101;G;2008K3;90;111
